stateId,unique.str,composition,structure,fct,type
1345,piab qupe pini  8 2,piab qupe pini ,8,2,0
1346,piab pini  9 2,piab pini ,9,2,0
1347,QUPE piab  6 2,QUPE piab ,6,2,0
1348,PIAB pini  9 2,PIAB pini ,9,2,0
1349,QUPE piab  13 2,QUPE piab ,13,2,0
1350,PIAB qupe  8 2,PIAB qupe ,8,2,0
1351,piab fasy qupe pini  10 2,piab fasy qupe pini ,10,2,0
1352,qupe  8 1,qupe ,8,1,0
1353,piab qupe pini  10 2,piab qupe pini ,10,2,0
1354,QUPE piab  10 1,QUPE piab ,10,1,0
1355,PIAB qupe  14 2,PIAB qupe ,14,2,0
1356,QUPE quro  8 2,QUPE quro ,8,2,0
1357,PIAB qupe  7 1,PIAB qupe ,7,1,0
1358,piab quro qupe  7 2,piab quro qupe ,7,2,0
1359,piab quro  9 1,piab quro ,9,1,0
1360,piab quro  7 1,piab quro ,7,1,0
1361,piab fasy pini  10 2,piab fasy pini ,10,2,0
1362,piab pini  10 2,piab pini ,10,2,0
1363,QUPE piab  11 1,QUPE piab ,11,1,0
1364,piab qupe pini  9 2,piab qupe pini ,9,2,0
1365,piab qupe pini  9 1,piab qupe pini ,9,1,0
1366,abal fasy qupe  10 2,abal fasy qupe ,10,2,0
1367,abal qupe  10 2,abal qupe ,10,2,0
1368,abal qupe  12 2,abal qupe ,12,2,0
1369,piab quro  10 1,piab quro ,10,1,0
1370,fasy qupe pini  10 2,fasy qupe pini ,10,2,0
1371,piab fasy pini  8 2,piab fasy pini ,8,2,0
1372,fasy quro qupe  10 1,fasy quro qupe ,10,1,0
1373,piab fasy pini  10 1,piab fasy pini ,10,1,0
1374,PINI piab  6 2,PINI piab ,6,2,0
1375,PINI piab  7 2,PINI piab ,7,2,0
1376,piab pini  7 2,piab pini ,7,2,0
1377,PIAB  14 1,PIAB ,14,1,0
1378,PINI  6 2,PINI ,6,2,0
1379,PIAB quro  11 2,PIAB quro ,11,2,0
1380,piab pini  6 2,piab pini ,6,2,0
1381,qupe pini  9 2,qupe pini ,9,2,0
1382,fasy quro pini  8 2,fasy quro pini ,8,2,0
1383,FASY pini  9 2,FASY pini ,9,2,0
1384,PIAB pini  8 1,PIAB pini ,8,1,0
1385,quro qupe pini  6 2,quro qupe pini ,6,2,0
1386,PIAB pini  8 2,PIAB pini ,8,2,0
1387,piab pini  7 1,piab pini ,7,1,0
1388,fasy qupe pini  8 2,fasy qupe pini ,8,2,0
1389,PINI qupe  6 2,PINI qupe ,6,2,0
1390,piab qupe pini  8 1,piab qupe pini ,8,1,0
1391,piab fasy qupe pini  8 2,piab fasy qupe pini ,8,2,0
1392,qupe pini  10 2,qupe pini ,10,2,0
1393,fasy qupe pini  9 2,fasy qupe pini ,9,2,0
1394,piab fasy qupe pini  9 2,piab fasy qupe pini ,9,2,0
1395,piab fasy qupe pini  7 2,piab fasy qupe pini ,7,2,0
1396,quro qupe  5 1,quro qupe ,5,1,0
1397,QUPE pini  8 2,QUPE pini ,8,2,0
1398,piab pini  10 1,piab pini ,10,1,0
1399,qupe pini  5 2,qupe pini ,5,2,0
1400,pini  6 2,pini ,6,2,0
1401,pini  8 2,pini ,8,2,0
1402,PINI  9 2,PINI ,9,2,0
1403,piab qupe pini  7 1,piab qupe pini ,7,1,0
1404,PINI  8 2,PINI ,8,2,0
1405,piab pini  6 1,piab pini ,6,1,0
1406,piab pini  11 2,piab pini ,11,2,0
1407,pini  7 2,pini ,7,2,0
1408,PIAB pini  10 2,PIAB pini ,10,2,0
1409,piab qupe pini  11 2,piab qupe pini ,11,2,0
1410,QUPE pini  9 2,QUPE pini ,9,2,0
1411,PIAB quro  10 2,PIAB quro ,10,2,0
1412,PIAB pini  11 2,PIAB pini ,11,2,0
1413,piab fasy pini  11 2,piab fasy pini ,11,2,0
1414,PINI fasy  7 2,PINI fasy ,7,2,0
1415,qupe pini  7 1,qupe pini ,7,1,0
1416,PINI piab  8 2,PINI piab ,8,2,0
1417,PINI  7 2,PINI ,7,2,0
1418,PIAB pini  9 1,PIAB pini ,9,1,0
1500,Grass1,NA,NA,NA,1
1501,Grass2,NA,NA,NA,1
1502,Grass3,NA,NA,NA,1
1503,Grass4,NA,NA,NA,1
1504,Grass5,NA,NA,NA,1
