stateId	unique.str	composition	structure	fct	n	type	color
1257	piab quro qupe  8 1	piab quro qupe 	8	1	31		#c0c0c0
1258	piab quro qupe  8 2	piab quro qupe 	8	2	73		#c0c0c0
1259	quro qupe  8 1	quro qupe 	8	1	29		#c0c0c0
1260	piab fasy quro qupe  10 2	piab fasy quro qupe 	10	2	33		#c0c0c0
1261	piab quro qupe  10 2	piab quro qupe 	10	2	120		#c0c0c0
1262	fasy quro qupe  7 2	fasy quro qupe 	7	2	20		#c0c0c0
1263	QUPE fasy  7 2	QUPE fasy 	7	2	58		#c0c0c0
1264	piab fasy quro  10 2	piab fasy quro 	10	2	67		#c0c0c0
1265	PINI fasy  6 2	PINI fasy 	6	2	91		#c0c0c0
1266	QUPE  5 2	QUPE 	5	2	23		#c0c0c0
1267	FASY pini  5 1	FASY pini 	5	1	23		#c0c0c0
1268	QUPE piab  7 1	QUPE piab 	7	1	27		#c0c0c0
1269	QUPE piab  7 2	QUPE piab 	7	2	117		#c0c0c0
1270	QUPE piab  8 2	QUPE piab 	8	2	1394		#c0c0c0
1271	FASY quro  9 1	FASY quro 	9	1	15		#c0c0c0
1272	QUPE  7 2	QUPE 	7	2	527		#c0c0c0
1273	QUPE  7 1	QUPE 	7	1	129		#c0c0c0
1274	PIAB qupe  8 1	PIAB qupe 	8	1	123		#c0c0c0
1275	PIAB qupe  9 1	PIAB qupe 	9	1	280		#c0c0c0
1276	PIAB qupe  9 2	PIAB qupe 	9	2	1478		#c0c0c0
1277	FASY quro  7 2	FASY quro 	7	2	25		#c0c0c0
1278	abal fasy qupe  9 2	abal fasy qupe 	9	2	32		#c0c0c0
1279	FASY quro  10 2	FASY quro 	10	2	18		#c0c0c0
1280	fasy pini  10 2	fasy pini 	10	2	30		#c0c0c0
1281	quro qupe  6 1	quro qupe 	6	1	20		#c0c0c0
1282	QUPE quro  7 2	QUPE quro 	7	2	25		#c0c0c0
1283	fasy quro  10 2	fasy quro 	10	2	99		#c0c0c0
1284	piab fasy quro  9 1	piab fasy quro 	9	1	17		#c0c0c0
1285	piab fasy quro  8 2	piab fasy quro 	8	2	15		#c0c0c0
1286	piab quro qupe  10 1	piab quro qupe 	10	1	15		#c0c0c0
1287	fasy quro  10 1	fasy quro 	10	1	15		#c0c0c0
1288	QUPE  6 2	QUPE 	6	2	186		#c0c0c0
1289	qupe  6 2	qupe 	6	2	28		#c0c0c0
1290	piab fasy pini  9 1	piab fasy pini 	9	1	242		#c0c0c0
1291	qupe  7 2	qupe 	7	2	181		#c0c0c0
1292	quro qupe  10 2	quro qupe 	10	2	83		#c0c0c0
1293	QUPE pini  7 2	QUPE pini 	7	2	24		#c0c0c0
1294	piab quro  8 2	piab quro 	8	2	26		#c0c0c0
1295	qupe pini  7 2	qupe pini 	7	2	439		#c0c0c0
1296	qupe pini  6 2	qupe pini 	6	2	159		#c0c0c0
1297	piab quro  8 1	piab quro 	8	1	30		#c0c0c0
1298	qupe  10 2	qupe 	10	2	940		#c0c0c0
1299	qupe  8 2	qupe 	8	2	1319		#c0c0c0
1300	quro qupe  6 2	quro qupe 	6	2	60		#c0c0c0
1301	piab fasy quro  11 2	piab fasy quro 	11	2	41		#c0c0c0
1302	fasy qupe  12 2	fasy qupe 	12	2	147		#c0c0c0
