stateId	unique.str	composition	structure	fct	n
485	piab lade fasy  5 0	piab lade fasy 	5	0	16
486	frex bepe  1 0	frex bepe 	1	0	105
487	mix 3 0	mix	3	0	28
488	fasy acps  8 0	fasy acps 	8	0	31
489	piab abal fasy  7 0	piab abal fasy 	7	0	29
490	piab lade  4 1	piab lade 	4	1	41
491	FASY frex  1 0	FASY frex 	1	0	26
492	PIAB pisy  9 2	PIAB pisy 	9	2	852
493	lade fasy acps  9 1	lade fasy acps 	9	1	37
494	piab pisy  8 2	piab pisy 	8	2	2792
495	piab fasy frex  7 1	piab fasy frex 	7	1	286
496	FREX  4 1	FREX 	4	1	260
497	PIAB  2 0	PIAB 	2	0	341
498	FASY acps  8 1	FASY acps 	8	1	146
499	frex bepe  2 0	frex bepe 	2	0	77
500	PIAB frex  8 1	PIAB frex 	8	1	129
501	fasy frex  5 0	fasy frex 	5	0	131
502	fasy acps  6 2	fasy acps 	6	2	51
503	LADE piab  2 0	LADE piab 	2	0	15
504	piab fasy frex  7 0	piab fasy frex 	7	0	82
505	BEPE  8 0	BEPE 	8	0	42
506	acps frex  5 1	acps frex 	5	1	11
507	FASY frex  8 1	FASY frex 	8	1	162
508	LADE  1 0	LADE 	1	0	272
509	LADE  2 0	LADE 	2	0	127
510	fasy  10 2	fasy 	10	2	8543
511	FASY  3 0	FASY 	3	0	86
512	piab bepe  5 0	piab bepe 	5	0	86
513	piab fasy acps  5 0	piab fasy acps 	5	0	17
514	piab bepe  1 0	piab bepe 	1	0	18
515	lade fasy  3 0	lade fasy 	3	0	40
516	fasy bepe  7 0	fasy bepe 	7	0	72
517	FREX  5 0	FREX 	5	0	385
518	LADE frex  7 0	LADE frex 	7	0	40
519	lade  5 0	lade 	5	0	30
520	lade bepe  7 0	lade bepe 	7	0	99
521	FASY piab  10 1	FASY piab 	10	1	1580
522	FASY lade  9 0	FASY lade 	9	0	43
523	lade bepe  3 0	lade bepe 	3	0	32
524	ALIN  3 0	ALIN 	3	0	29
525	lade  8 0	lade 	8	0	182
526	fasy acps  10 1	fasy acps 	10	1	295
527	BEPE frex  2 0	BEPE frex 	2	0	27
528	fasy alin  6 1	fasy alin 	6	1	18
529	piab bepe  4 0	piab bepe 	4	0	68
530	piab acps  8 1	piab acps 	8	1	70
531	fasy frex alin  6 0	fasy frex alin 	6	0	30
532	FASY acps  9 1	FASY acps 	9	1	64
533	fasy acps  9 0	fasy acps 	9	0	20
534	piab lade  5 0	piab lade 	5	0	234
535	FASY acps  10 1	FASY acps 	10	1	92
536	piab fasy acps  9 1	piab fasy acps 	9	1	143
537	FASY acps  7 0	FASY acps 	7	0	51
538	piab  11 1	piab 	11	1	114
539	PIAB fasy  4 1	PIAB fasy 	4	1	283
540	piab abal fasy  8 0	piab abal fasy 	8	0	44
541	fasy frex alin  7 0	fasy frex alin 	7	0	30
542	PIAB fasy  1 0	PIAB fasy 	1	0	36
543	piab lade fasy  9 0	piab lade fasy 	9	0	239
544	lade frex  7 0	lade frex 	7	0	106
545	FASY frex  7 1	FASY frex 	7	1	158
546	piab abal  10 2	piab abal 	10	2	974
547	FASY  2 0	FASY 	2	0	50
548	piab abal fasy  10 2	piab abal fasy 	10	2	4316
549	FASY  3 1	FASY 	3	1	196
550	piab fasy acps  7 0	piab fasy acps 	7	0	40
551	piab frex  9 0	piab frex 	9	0	147
552	lade frex  4 0	lade frex 	4	0	67
553	piab lade frex  1 0	piab lade frex 	1	0	29
554	lade fasy frex  9 0	lade fasy frex 	9	0	39
555	lade frex  1 0	lade frex 	1	0	120
556	piab  1 0	piab 	1	0	30
557	FREX bepe  1 0	FREX bepe 	1	0	40
558	piab  5 0	piab 	5	0	149
559	frex alin  3 0	frex alin 	3	0	31
560	lade frex  8 0	lade frex 	8	0	91
561	FASY frex  5 0	FASY frex 	5	0	44
562	FASY lade  9 2	FASY lade 	9	2	567
563	BEPE  7 0	BEPE 	7	0	80
564	FREX  8 0	FREX 	8	0	55
565	fasy alin  6 0	fasy alin 	6	0	20
566	FASY piab  8 0	FASY piab 	8	0	253
567	fasy frex  5 1	fasy frex 	5	1	152
568	FASY piab  5 0	FASY piab 	5	0	47
569	BEPE frex  1 0	BEPE frex 	1	0	46
570	piab fasy  1 0	piab fasy 	1	0	52
571	piab fasy  11 1	piab fasy 	11	1	1530
572	FASY acps  6 0	FASY acps 	6	0	97
573	acps  9 1	acps 	9	1	17
574	PIAB pisy  7 2	PIAB pisy 	7	2	59
575	FREX lade  1 0	FREX lade 	1	0	79
576	PIAB lade  7 0	PIAB lade 	7	0	101
577	piab fasy frex  1 0	piab fasy frex 	1	0	10
578	LADE fasy  7 1	LADE fasy 	7	1	81
579	PIAB bepe  6 1	PIAB bepe 	6	1	37
580	piab fasy  10 0	piab fasy 	10	0	254
581	fasy frex  10 1	fasy frex 	10	1	71
582	piab fasy frex  11 1	piab fasy frex 	11	1	126
583	lade pisy  7 2	lade pisy 	7	2	106
584	lade fasy acps  6 1	lade fasy acps 	6	1	35
585	piab pisy fasy  8 2	piab pisy fasy 	8	2	4291
