id,model.climate.tableName,model.site.soilDepth,model.site.availableNitrogen
11978,144,12.63,53.5572081808838
11979,142,13.14,53.5572081808838
11980,142,7.09,55.1160613959976
11981,102,8.44,53.0828832158492
11982,137,12.8,51.8264366731325
11983,137,12.97,53.8177210550257
11984,137,13.81,54.3745350677331
11985,132,13.81,54.3745350677331
11986,161,13.98,54.3745350677331
11987,161,14.49,54.3745350677331
11988,161,14.66,54.3745350677331
11989,161,12.46,54.3745350677331
11990,161,13.31,54.3745350677331
11991,161,7.9,54.3745350677331
11992,146,10.1,53.6104064817217
11993,163,11.45,53.6104064817217
11994,164,9.76,56.578824507721
11995,108,10.1,55.4886797156303
11996,108,7.09,55.8359815176989
11997,108,9.93,55.8359815176989
11998,107,17.98,54.3762779080457
11999,113,28.26,53.5572081808838
12000,107,26.91,54.3762779080457
12001,107,17.79,56.578824507721
12002,107,19.14,55.4886797156303
12003,107,19.48,55.4886797156303
12004,82,17.13,53.5662488130034
12005,82,16.62,55.4886797156303
12006,108,20.66,50.9102403441756
12007,108,24.38,50.2645844687426
12008,108,21.84,53.954088247461
12009,79,18.97,55.4886797156303
12010,79,18.46,55.8359815176989
12011,95,19.48,55.8359815176989
12012,95,18.97,52.3992944029271
12013,95,21.34,53.4307655932161
12014,95,19.82,59.0483297579334
12015,79,19.14,55.8359815176989
12016,79,18.29,55.8359815176989
12017,108,18.97,55.4886797156303
12018,82,19.65,55.4886797156303
12019,82,19.31,55.4886797156303
12020,108,19.31,55.8359815176989
12021,79,19.48,55.8359815176989
12022,133,19.48,55.8359815176989
12023,133,16.94,55.8359815176989
12024,155,18.63,52.7863620530372
12025,155,17.45,55.8359815176989
12026,155,20.15,52.7863620530372
12027,155,18.29,59.0483297579334
12028,165,18.8,52.7863620530372
12029,148,18.8,52.3992944029271
12030,148,18.63,52.7863620530372
12031,148,12.08,54.6588763556874
12032,148,15.93,54.6588763556874
12033,148,11.74,54.6588763556874
12034,148,28.18,55.2445361768934
12035,95,18.8,59.0483297579334
12036,155,23.28,52.7863620530372
12037,155,13.92,52.7863620530372
12038,133,18.97,55.8359815176989
12039,133,25.98,55.0464888228834
12040,133,35.84,52.1965983156267
12041,166,16.45,53.0149940340829
12042,166,17.47,51.0315313443816
12043,166,16.62,51.4393536630978
12044,153,18.82,53.8509026945465
12045,153,15.95,52.1965983156267
12046,153,15.78,51.9255706602624
12047,153,15.95,55.8359815176989
12048,153,15.44,51.9255706602624
12049,153,23.45,54.1256824715974
12050,156,9.76,55.8359815176989
12051,167,10.6,55.4886797156303
12052,167,18.41,55.4886797156303
12053,167,13.81,56.578824507721
12054,167,11.11,56.578824507721
12055,168,10.77,56.578824507721
12056,168,16.89,51.0625020454319
12057,157,11.45,51.0625020454319
12058,157,13.31,56.578824507721
12059,157,10.77,53.6104064817217
12060,157,10.94,54.493417002876
12061,157,10.6,51.9666672597476
12062,157,10.94,52.5489831484312
12063,157,8.07,53.6104064817217
12064,157,18.24,53.6104064817217
12065,157,17.57,53.6104064817217
12066,158,10.1,51.9666672597476
12067,159,12.12,54.3745350677331
12068,159,11.95,52.5489831484312
12069,159,11.79,52.5489831484312
12070,159,12.12,53.8177210550257
12071,159,11.95,53.1046035105106
12072,159,6.07,51.8264366731325
12073,159,5.57,51.8264366731325
12074,159,12.8,51.8264366731325
12075,159,11.62,51.8264366731325
12076,159,10.77,51.8264366731325
12077,159,10.26,51.8264366731325
12078,159,11.62,53.8177210550257
12079,159,11.79,53.0828832158492
12080,152,12.46,53.0828832158492
12081,145,11.95,53.0828832158492
12082,141,11.95,53.0828832158492
12083,141,11.95,53.0828832158492
12084,141,15.67,53.7859951454453
12085,141,15.17,53.118412877158
12086,141,15.17,53.118412877158
12087,141,15.17,45.3076179319551
12088,141,14.15,53.118412877158
12089,147,12.97,53.5572081808838
12090,147,13.48,48.0889528152101
12091,101,15,53.5572081808838
12092,101,12.97,48.0889528152101
12093,101,15.17,55.1160613959976
12094,101,13.98,53.5572081808838
12095,101,13.81,53.5572081808838
12096,101,15.17,53.5572081808838
12097,101,7.76,44.352299403186
12098,101,4.55,53.5572081808838
12099,142,13.48,45.3076179319551
12100,142,13.64,53.118412877158
12101,142,15,55.1160613959976
12102,142,12.8,53.118412877158
12103,138,12.29,53.1046035105106
12104,169,12.46,53.8177210550257
12105,160,11.95,51.8264366731325
12106,136,11.11,52.5489831484312
12107,135,11.45,53.9321965847054
12108,135,10.94,53.6104064817217
12109,135,24.46,54.3762779080457
12110,135,24.46,54.3762779080457
12111,135,24.46,56.578824507721
12112,169,25.14,54.3762779080457
12113,169,24.8,53.6104064817217
12114,138,23.96,53.6104064817217
12115,138,24.46,52.5489831484312
12116,115,24.97,51.9666672597476
12117,115,24.12,49.4267057651656
12118,115,24.97,51.9666672597476
12119,142,23.79,52.5489831484312
12120,142,24.8,53.9956530581396
12121,142,24.12,53.883872879066
12122,170,12.29,51.8264366731325
12123,144,15.44,45.3076179319551
12124,144,15.78,45.3076179319551
12125,144,12.8,55.1160613959976
12126,144,12.12,55.1160613959976
12127,144,12.29,53.5572081808838
12128,144,12.29,53.5572081808838
12129,144,12.8,53.118412877158
12130,142,12.97,45.3076179319551
12131,142,12.29,53.118412877158
12132,142,6.75,53.1046035105106
12133,138,8.61,53.0828832158492
12134,138,13.64,51.8264366731325
12135,137,16.18,49.4267057651656
12136,137,14.15,54.3745350677331
12137,137,13.81,54.3745350677331
12138,160,14.66,54.3745350677331
12139,136,14.49,54.3745350677331
12140,161,13.31,51.7409468030251
12141,161,13.14,53.9321965847054
12142,161,13.14,51.7409468030251
12143,161,12.8,53.9321965847054
12144,171,10.26,53.6104064817217
12145,163,9.08,53.6104064817217
12146,164,10.6,56.578824507721
12147,108,8.91,55.4886797156303
