id,climateId,availableNitrogen,soilDepth,distanceOutside,initialResidenceTime,initialStateId
77,3,56.54018653,18.63,0.0986121811340027,1,42
78,9,55.16172224,23.96,0,1,42
79,9,54.65887636,22.94,0,1,85
80,9,52.77017005,23.45,0,1,174
81,9,54.65887636,23.11,0,1,187
82,9,54.65887636,11.79,0,1,24
83,9,54.65887636,12.29,0,1,24
84,3,54.65887636,11.95,0.0986121811340027,1,24
85,1,54.79910061,11.95,0.292893218813452,1,24
86,2,53.09517803,18.13,0.5,1,24
87,2,53.09517803,17.79,0.75,1,24
88,2,53.11841288,23.03,1,1,24
89,2,53.09517803,10.94,1,1,20
90,10,53.61040648,12.8,1,1,43
91,10,53.61040648,12.97,1,1,24
92,10,53.61040648,12.29,1,1,24
93,10,53.61040648,11.11,1,1,24
94,10,53.61040648,10.94,1,1,24
95,10,51.06250205,13.14,1,1,42
96,10,56.57882451,11.95,1,1,24
97,10,51.06250205,13.81,1,1,29
98,7,55.48867972,13.81,1,1,42
99,7,55.83598152,11.11,1,1,42
100,7,55.83598152,8.38,0.75,1,24
101,7,55.83598152,22.43,0.75,1,24
102,8,55.83598152,11.45,0.75,1,74
103,8,52.3992944,10.94,0.75,1,45
104,4,52.3992944,10.94,0.646446609406726,1,3
105,5,52.3992944,10.94,0.5,1,30
106,5,54.65887636,11.62,0.5,1,45
107,5,54.65887636,10.77,0.5,1,42
108,3,56.18682579,10.94,0.5,1,42
109,3,56.18682579,11.95,0.440983005625053,1,35
110,3,56.54018653,13.81,0.292893218813452,1,45
111,3,56.54018653,10.94,0.0986121811340027,1,68
112,3,56.18682579,11.95,0,1,590
113,9,54.65887636,23.28,0,1,339
114,9,53.64434205,11.45,0,1,590
115,9,53.75692334,33.14,0,1,37
116,9,51.03153134,34.15,0,1,30
117,9,52.83651798,34.66,0,1,15
118,9,52.83651798,34.32,0,1,592
119,9,53.75560603,33.14,0,1,24
120,9,54.07832003,33.14,0.0986121811340027,1,591
121,3,54.65887636,12.97,0.292893218813452,1,24
122,2,56.54018653,11.79,0.440983005625053,1,24
123,2,53.09517803,11.11,0.646446609406726,1,71
124,2,53.61040648,15.61,0.75,1,37
